 advice, reward, choices, results, timeToReadInstructions, timeToTakeQuiz, quizWrongTriesCounter, answerTimePerRound
0 1 0 1 0 0 1 0 1 0,609,0 0 1 0 1 1 1 1 1 1,16 34 81 68 75 83 73 30 99 50,54.6024,83.3031,1,11.1969 16.2238 7.1679 11.4637 2.7913 5.0479 2.8240 4.4079 5.7518 7.4479
0 1 0 0 0 0 1 1 0 1,357,0 1 0 0 0 0 1 1 0 1,7 54 58 9 31 1 71 50 19 57,1139.9433,38.7105,0,3.7381 1.4607 0.8029 1.6616 0.6373 0.8604 0.8206 0.7830 0.7155 0.7640
0 1 0 1 0 0 1 1 1 1,668,0 1 1 1 0 1 1 0 1 0,94 77 52 100 51 85 37 16 97 59,4.6540,64.7620,2,9.1240 1.0480 1.7050 1.5100 0.7310 1.6300 1.5430 1.2020 0.8220 2.1590
1 1 1 0 1 0 0 0 1 0,632,0 0 1 0 1 0 0 1 1 1,82 30 88 52 59 32 33 75 82 99,379.5183,57.5306,2,6.6559 2.9757 1.3039 5.0958 1.0802 3.8790 1.5898 1.3437 1.3686 1.4957
1 0 1 0 0 0 0 1 1 0,507,1 1 1 0 1 0 1 1 1 1,56 64 76 48 23 21 94 29 95 1,3.7745,38.3309,2,3.2663 1.0400 1.0557 4.6721 1.8319 0.6881 0.4159 0.6003 0.5120 0.6156
1 0 0 0 0 1 0 0 0 1,624,0 1 1 0 1 1 1 0 1 1,49 91 80 61 14 84 71 24 50 100,265.4129,22.0340,0,8.1202 4.4621 2.2726 2.3248 1.1578 1.3541 2.2970 1.2507 1.0248 1.6656
1 0 0 1 1 0 1 0 1 1,557,1 0 0 0 1 0 1 0 1 1,1 99 25 96 73 90 68 10 82 13,89.7060,25.9220,0,5.2400 7.3500 3.3530 8.5950 9.7270 2.1820 2.5900 1.4190 19.3200 2.1110
1 0 0 0 1 0 1 0 1 1,506,1 0 1 0 0 0 0 0 1 1,28 82 23 32 82 56 35 20 100 48,2.5906,51.9502,2,6.5312 3.6234 1.3438 0.6477 0.9200 0.7677 0.9838 2.0156 0.6718 0.6477
1 0 0 0 0 0 1 0 0 0,471,1 1 1 1 1 0 1 1 1 1,33 65 68 11 19 14 35 83 50 93,72.6260,28.4260,0,8.8040 8.3700 5.3680 5.9200 5.2320 4.3990 3.8870 3.7360 3.9670 4.9600
1 1 1 0 1 0 0 0 1 0,558,1 0 1 1 1 0 1 1 1 0,19 17 39 46 92 53 92 95 95 10,81.0620,41.5600,1,10.7900 10.6860 7.5200 7.1460 6.9440 4.0560 1.3680 2.7280 4.9420 5.6240
0 0 1 0 0 0 1 1 1 0,415,0 0 0 0 1 1 1 1 1 0,47 42 46 24 54 59 11 74 54 4,40.0907,65.5818,0,10.7936 3.4289 4.1539 3.5466 1.6060 3.6009 0.8564 2.3907 1.5407 0.8658
0 0 0 1 1 0 0 1 1 0,589,1 1 1 1 1 1 1 1 1 1,77 98 23 30 82 73 49 30 85 42,50.0909,87.0692,2,7.7746 4.6155 2.8726 0.9838 0.8319 1.9038 1.2796 0.9598 0.8717 1.5599
1 1 0 1 1 1 1 0 0 0,643,0 1 1 1 1 0 1 0 0 0,56 98 65 97 48 37 61 93 50 38,95.5794,32.1883,0,16.9033 3.9819 11.5860 4.2738 4.1298 3.1498 2.9678 1.5719 1.9718 6.0399
1 0 0 0 1 0 0 0 0 0,584,0 0 0 1 1 1 1 1 1 1,0 37 23 90 49 89 30 83 96 87,97.9504,86.4668,0,14.8623 3.0796 3.3117 12.6316 7.9917 3.7118 3.9198 6.6315 4.2557 2.5759
1 0 0 1 1 0 0 1 1 1,611,1 0 0 1 1 1 1 1 1 1,67 38 22 66 59 40 90 100 52 77,57.4230,26.0640,0,6.3840 3.9050 3.6810 1.3630 1.0740 0.8060 1.2850 0.8500 2.7840 0.6970
1 0 1 0 1 1 0 0 1 1,591,1 0 0 0 0 1 0 0 1 1,1 78 21 70 48 72 100 49 77 75,36.3420,28.9001,0,7.2889 6.0358 2.9739 6.2998 2.4059 4.2459 3.0698 3.4419 2.2659 1.6359
0 0 0 0 1 1 1 1 1 1,418,0 1 1 1 1 0 1 1 1 0,22 58 86 61 0 7 69 73 19 23,57.4640,32.3590,1,9.0540 5.2870 3.9450 2.7350 7.8880 1.3200 2.6810 1.9280 1.8640 1.6810
0 1 1 1 1 1 1 0 0 0,551,1 1 0 0 1 0 1 1 0 1,76 20 43 30 93 49 50 73 40 77,35.5072,99.7969,1,5.3191 4.3357 2.7358 1.3837 0.7998 1.1518 2.5599 0.9199 1.1602 0.6316
1 1 0 0 0 0 1 0 0 1,455,0 1 1 0 0 0 1 0 1 0,27 50 18 67 67 1 50 24 92 59,25.6771,33.3283,0,6.7576 0.9912 4.5038 1.0087 2.9837 0.9359 0.7758 0.8797 0.6717 0.9758
1 1 1 1 1 0 1 1 0 1,736,0 1 0 0 1 1 1 0 1 0,86 67 82 8 28 100 96 87 98 84,51.5425,24.2322,0,7.1100 8.5273 5.1436 4.5198 1.8398 1.4077 0.7681 4.6957 0.4160 0.6876
1 1 0 1 1 0 0 0 0 0,460,1 1 1 1 1 1 0 1 1 1,25 51 40 97 69 20 33 84 21 20,421.5875,19.6726,0,4.0585 5.3117 10.5836 2.3601 1.2078 2.3437 0.7679 1.8400 3.8557 3.2322
0 0 0 0 0 1 1 0 1 0,620,0 0 0 1 0 1 0 0 1 1,38 57 92 77 96 69 43 92 49 7,37.7061,129.2108,0,9.2732 3.7106 5.8727 2.5784 1.4778 1.8400 3.1985 5.0288 7.2438 3.8649
0 1 0 1 1 1 0 0 0 0,392,0 1 1 0 1 1 1 1 1 1,23 81 7 15 73 64 12 52 19 46,69.2295,26.9345,0,4.1297 3.0613 2.2199 1.4259 1.5278 1.8038 1.5661 1.2993 0.8819 1.0482
1 1 0 1 1 1 1 1 1 0,595,1 1 0 1 1 1 1 1 1 0,40 51 73 94 70 80 100 23 25 39,16.9744,451.4125,1,8.5371 2.2556 4.2477 2.1197 1.9360 2.4158 3.5998 2.0078 2.6400 1.4959
0 0 0 0 0 1 0 1 1 0,446,0 0 0 0 1 1 1 1 1 0,84 77 5 1 53 47 99 54 11 15,123.4519,129.3889,0,16.7164 7.2473 12.1442 4.8961 9.5529 1.9355 12.8075 24.7427 3.9676 3.7674
0 1 0 1 0 0 0 0 0 1,266,0 0 0 1 0 0 0 0 0 1,47 7 3 18 30 31 2 48 10 70,11.9324,132.4753,2,10.9959 11.7595 3.3593 1.8152 2.5284 1.9114 2.4879 1.4887 1.6079 0.9429
0 1 1 1 0 0 1 1 0 0,478,0 0 1 0 0 1 1 0 1 0,2 83 9 32 62 92 29 86 80 3,866.7089,88.6143,0,4.4981 1.1037 0.6479 1.0159 1.9198 0.7358 1.9999 0.8719 2.3837 0.7439
0 0 1 1 1 0 0 1 0 0,424,0 1 1 0 0 0 0 1 0 0,62 79 39 53 16 79 0 39 35 22,3.5970,30.8640,2,6.0050 2.5360 2.4480 1.1310 2.5810 2.4410 0.8390 1.5200 0.6950 1.8650
1 1 1 1 0 0 1 1 0 1,339,1 1 1 0 0 0 1 0 0 1,54 5 43 27 40 27 16 46 6 75,102.9562,34.4094,0,4.5202 11.3923 3.4767 1.3241 3.1164 5.4215 3.7065 2.1566 2.5587 1.6279
1 0 0 1 1 0 0 1 1 0,404,0 0 1 0 1 0 1 1 1 1,71 90 87 32 21 19 19 4 50 11,22.0790,200.0544,1,13.5164 2.6314 7.4315 4.7681 4.7195 1.3438 1.5438 4.0876 2.8637 1.1589
1 1 1 0 1 1 0 1 1 0,459,0 1 1 0 1 0 0 0 1 0,3 74 50 32 17 85 78 26 58 36,87.5202,195.5840,0,9.9985 0.6249 0.8929 7.5720 1.5220 4.8748 0.8724 2.3206 4.1177 1.4454
1 0 0 1 0 1 0 1 0 0,437,1 0 0 1 1 1 1 1 0 0,97 24 26 61 53 49 34 23 42 28,53.5392,32.7276,1,4.1531 7.5216 1.7918 1.1661 3.4677 2.3161 1.5074 0.9080 1.0284 0.9330
1 1 0 1 0 0 0 0 0 0,354,1 1 0 1 0 0 0 0 0 0,3 58 79 42 5 5 2 70 17 73,12.4371,41.0244,0,7.6788 8.0792 2.7117 7.4239 0.8320 2.6084 2.1919 1.6722 2.6081 1.4479
1 0 1 0 1 1 1 1 0 1,534,1 1 1 1 0 0 0 0 0 0,55 22 85 87 20 52 55 88 49 21,122.5346,21.3652,0,9.4457 5.9819 5.1298 3.1837 2.4019 2.1353 2.5806 1.5658 2.0107 1.6252
1 1 1 1 1 0 0 1 1 0,495,1 1 1 1 1 0 0 1 1 0,6 59 59 41 57 46 37 72 79 39,54.1340,26.8990,0,10.1120 4.9510 3.8960 1.8350 1.5520 3.4490 1.4150 1.6270 1.9010 1.9740
0 1 0 1 0 0 1 0 1 0,469,0 1 0 1 1 0 1 1 1 1,30 80 33 78 18 17 35 62 70 46,143.5261,89.3058,1,16.1531 4.4492 3.7781 4.5086 3.3690 6.0760 4.0119 2.2301 4.8012 1.8311
1 0 0 1 1 1 1 0 0 0,460,1 0 0 1 1 1 1 0 0 0,7 44 16 96 61 21 81 74 34 26,25.6060,38.2000,1,7.1740 4.8390 4.5440 2.2330 1.3270 0.8980 0.8320 1.1400 1.2960 1.5920
0 1 1 0 0 0 1 1 1 0,405,1 0 1 1 1 0 1 0 1 1,75 10 97 37 50 29 12 16 17 62,84.1651,29.8893,0,12.3074 6.7196 5.2556 1.7117 4.4799 3.9998 1.2082 1.6639 4.1436 1.2638
1 0 1 0 0 1 1 1 0 1,646,0 0 0 1 1 1 1 0 1 1,81 86 25 66 74 87 60 53 62 52,35.0909,105.5262,0,8.0260 11.3128 5.3109 2.0667 3.7081 12.2932 4.0706 6.1604 3.0577 8.2018
1 0 1 1 0 1 0 0 0 1,480,0 1 1 1 0 0 1 1 0 0,48 85 95 40 1 44 61 5 89 12,7.7551,49.8555,1,5.9669 9.4988 1.0818 1.2293 1.8847 1.2759 1.0167 5.0264 1.2238 2.9483
0 1 1 0 1 0 0 0 1 0,426,0 1 1 0 1 0 0 0 1 1,62 47 38 50 47 4 45 19 27 87,66.8752,20.0725,0,7.7783 1.3997 2.9520 0.8160 3.7282 1.0879 0.7520 1.5837 0.7117 1.0882
0 1 0 1 0 0 1 0 1 1,703,0 0 0 0 0 0 1 1 1 1,50 91 99 93 67 28 62 94 50 69,139.9060,67.4520,0,12.8630 3.0940 4.3440 2.2230 2.8760 1.9380 1.2030 4.8610 2.2510 2.2670
0 1 1 0 0 1 1 1 1 0,313,0 1 1 0 0 1 1 1 1 0,41 89 46 40 9 17 11 29 7 24,77.8491,49.1317,1,6.6271 1.8911 1.0729 1.0561 7.6393 0.8163 1.5239 1.5007 1.2688 1.3962
1 1 1 1 1 1 1 1 0 1,712,1 1 0 1 1 0 1 0 0 1,84 56 45 97 74 97 60 61 96 42,81.9957,39.1689,0,18.7198 8.9821 2.0074 6.4071 3.9998 2.7133 1.5361 4.1362 2.7039 0.9998
1 0 0 0 0 0 1 0 0 0,514,1 0 0 0 0 0 1 0 0 0,62 28 49 67 75 50 70 44 65 4,78.5640,71.8560,1,14.5810 3.5140 2.9540 2.4750 1.2920 4.8250 1.8220 1.8070 1.3330 1.3100
1 0 1 1 0 1 1 0 0 1,373,0 0 1 1 0 1 0 0 0 0,6 31 55 33 72 4 68 55 42 7,3.3270,15.0260,0,2.9010 1.7590 1.4630 0.7840 1.7590 2.2470 0.8750 1.8390 0.9520 2.9820
1 1 0 0 1 0 0 0 1 1,519,1 1 0 1 1 0 0 1 1 1,42 77 90 42 69 43 46 94 3 13,57.5500,39.2018,1,6.3166 2.1271 3.3280 1.9813 5.6279 3.3898 1.5459 2.2562 1.6956 1.6360
1 0 1 1 0 0 0 0 1 0,523,1 0 1 1 0 1 1 0 1 0,83 38 53 74 9 90 1 92 40 43,57.0747,26.7524,0,10.9262 4.1196 2.0158 2.0875 1.5355 4.6639 3.0876 1.1836 1.4384 0.9997
0 1 0 1 0 1 0 1 1 0,490,1 0 1 1 0 1 0 1 1 0,66 65 41 38 31 18 48 72 71 40,66.2464,58.5204,1,15.7192 11.0941 5.6354 7.4640 4.8852 4.1982 1.1776 3.8550 6.0273 4.0593
0 1 1 0 1 1 1 1 1 1,492,0 1 1 1 1 1 1 1 1 1,10 77 86 33 52 48 61 75 31 19,83.7710,55.0156,1,6.5714 3.0631 3.6558 1.6087 1.2108 0.9824 1.1582 0.9513 0.8599 0.9132
1 1 1 0 1 0 1 1 1 0,568,1 1 1 0 1 0 1 1 1 0,40 72 68 24 70 72 49 88 74 11,75.7668,26.4068,0,3.1305 5.8604 7.7092 3.8539 3.5240 1.9160 5.8841 4.6900 2.0120 1.6499
1 0 0 0 0 0 1 0 0 0,478,1 0 0 0 0 0 1 0 0 0,64 97 28 48 9 100 57 65 6 4,80.1622,33.7615,0,9.3723 7.1912 6.1390 3.3981 2.3231 9.8116 1.3593 1.5390 1.2328 1.1671
1 0 0 0 1 1 1 0 1 0,430,1 0 0 0 1 1 0 0 1 0,6 16 87 67 64 35 54 75 19 7,24.4946,27.6514,0,5.5828 8.2927 5.0087 5.9023 13.9740 6.7942 16.4535 7.3730 5.8415 6.7274
0 1 0 1 1 1 1 0 0 0,542,0 1 1 0 1 1 1 0 1 0,67 50 91 15 64 64 92 42 37 20,43.4855,23.3090,0,7.6274 4.3522 4.1798 4.7327 1.9660 2.2470 6.2280 3.8872 2.3447 1.2069
1 1 0 0 0 1 0 1 0 0,549,1 0 1 0 1 1 1 1 1 0,98 38 59 2 93 74 42 98 10 35,41.2286,134.6280,2,4.9807 1.4422 0.7860 0.6717 0.5305 1.8985 7.1477 0.9446 1.8418 0.4340
0 0 1 0 0 0 0 1 0 0,462,0 0 1 0 0 0 0 1 0 0,31 25 28 72 90 6 15 85 87 23,31.0001,11.0078,0,4.1026 4.6198 4.8313 4.0177 3.8364 1.8012 1.6406 2.7570 2.4953 1.1585
0 1 1 0 0 1 0 1 0 1,371,0 0 1 0 1 0 1 1 0 1,40 24 86 6 50 30 20 81 5 29,4.0290,35.9890,1,2.9260 2.2560 0.8880 0.7760 1.2080 2.0320 1.3690 0.7280 1.8230 0.8320
0 0 1 1 0 1 1 0 1 0,539,0 1 1 0 1 1 0 1 1 0,52 58 84 36 70 100 13 30 27 69,15.2222,24.6699,0,8.6448 5.3220 2.7635 1.6202 1.7400 1.3437 2.3079 1.4316 0.8853 0.7677
0 0 1 0 1 0 0 1 1 1,379,0 0 1 0 1 0 0 1 1 1,64 50 20 9 50 1 39 73 21 52,72.9691,24.3534,0,5.7418 3.8715 4.7122 9.4160 2.8560 5.0239 1.1669 2.4960 1.5052 1.2152
1 1 0 1 1 1 1 1 0 0,301,0 1 1 1 0 1 0 1 0 0,4 42 12 25 14 7 68 87 2 40,26.5539,33.1423,1,6.5196 1.4038 1.1435 0.8530 0.7874 0.7585 0.8528 1.9317 0.5764 0.6440
0 0 0 0 0 1 0 1 0 1,269,0 0 1 0 1 0 0 1 0 1,31 11 21 1 27 11 46 15 49 57,81.2420,71.9678,1,7.7516 2.5278 5.6641 0.7759 0.6640 1.0960 4.6158 1.1439 0.6641 1.1598
1 1 0 1 0 1 1 0 1 1,430,1 1 0 1 0 1 1 1 1 1,98 11 62 5 10 72 90 27 40 15,47.1845,89.3404,1,6.6492 4.5315 1.7775 0.6472 2.1754 2.5400 2.4699 2.1187 0.8057 2.1496
0 1 0 1 1 1 0 0 1 1,409,0 1 0 0 0 1 1 0 1 0,51 8 64 80 15 44 46 37 0 64,61.3746,25.2351,0,6.0739 2.0341 1.5490 1.8521 1.5385 1.4386 2.4814 1.3660 1.7820 1.2962
1 1 0 0 1 0 0 0 0 0,379,1 0 1 0 1 1 1 0 1 1,46 39 0 3 0 97 66 19 86 23,154.8730,73.0610,0,27.3620 12.5040 6.8430 3.0620 3.1710 8.0250 3.3240 4.8820 2.3050 1.8990
0 1 1 0 0 1 0 0 1 0,462,0 1 1 0 0 1 0 0 1 0,83 65 18 38 59 90 20 34 22 33,33.6255,74.0741,1,11.7227 5.5821 2.5759 9.5000 19.3603 2.6260 1.7673 2.1035 1.2186 1.3187
1 1 1 1 1 0 0 1 1 0,541,1 1 1 1 1 0 0 1 1 0,43 62 55 66 83 45 42 79 53 13,33.4937,49.1525,0,24.3267 11.9597 12.4319 12.4478 3.4077 2.9438 2.1039 2.1999 3.0558 2.0399
0 0 1 1 1 0 0 0 0 1,481,0 1 1 0 1 1 1 0 1 0,50 50 6 1 20 43 62 78 82 89,66.9180,77.3990,2,5.5200 4.0410 6.9430 1.1510 3.2900 1.2240 2.7930 2.0010 1.3920 1.6730
1 1 1 1 0 1 1 0 1 1,638,1 1 1 1 1 1 1 1 1 1,70 77 17 95 95 64 25 61 92 42,37.6734,49.6337,1,3.5738 4.8040 4.7779 7.0219 7.6878 8.1460 4.5660 12.0481 4.8899 5.0582
1 0 1 0 1 1 0 0 0 1,576,1 1 0 1 1 1 0 0 1 1,19 63 50 81 91 23 71 15 100 63,69.5223,32.3031,0,3.3182 1.5429 1.1270 0.9434 2.3759 1.1260 2.0402 0.8111 2.7711 1.6959
1 0 1 0 1 0 0 1 1 1,427,1 0 1 1 1 0 0 1 1 0,25 2 54 93 75 37 34 30 22 55,22.4891,54.2082,1,4.6845 3.3742 2.9009 0.9584 0.7084 1.0540 0.9093 1.5831 0.6587 0.5273
1 1 0 1 0 1 0 1 1 0,549,1 1 0 1 0 1 0 1 1 0,55 35 37 23 83 68 31 78 95 44,32.9147,32.5581,1,7.9648 2.2796 2.2934 1.1720 1.9380 1.2691 1.0850 2.0219 1.3687 1.3569
0 1 1 1 0 1 0 1 0 0,389,0 1 1 1 0 1 0 0 0 0,66 7 77 77 73 25 11 4 33 16,43.3168,27.9760,0,9.9031 6.1369 8.2246 2.8874 4.3920 6.8558 1.2158 3.4802 1.2872 1.3920
1 0 0 1 1 0 0 0 0 0,479,1 0 0 1 1 0 0 1 1 1,32 66 88 63 89 6 15 46 31 43,95.8620,46.2830,1,6.4220 15.7640 10.8310 2.3810 2.8530 0.9320 2.2000 1.7200 1.3200 1.5430
0 1 0 1 0 1 0 0 0 0,548,1 0 0 0 1 1 0 1 0 1,51 100 25 18 79 74 45 41 25 90,58.2263,26.9407,1,8.3422 7.6184 1.7997 1.6119 1.6940 1.6345 1.4159 1.3842 1.4839 1.2862
0 0 0 0 0 0 0 1 1 1,339,0 0 1 0 0 0 1 1 1 1,29 10 3 17 86 22 7 78 30 57,120.9183,78.8540,1,28.3802 2.7028 1.2474 0.8798 3.1992 1.6957 1.6712 1.2108 0.8479 0.8940
1 0 0 0 0 0 0 1 0 1,567,1 0 0 0 0 0 0 1 0 1,69 71 92 46 32 77 42 58 14 66,36.5222,249.3988,2,40.0662 3.6668 1.4859 0.8405 1.2227 0.7768 0.8035 3.3082 5.8647 2.1434
0 1 1 1 1 0 1 1 1 1,509,0 1 0 1 1 1 0 1 1 0,19 78 13 61 75 27 85 65 19 67,69.9264,30.7281,0,5.1494 11.9911 1.8720 8.0159 3.9596 2.5118 1.7999 1.2719 2.7359 2.6720
1 0 1 1 1 0 0 0 0 1,372,1 1 0 1 0 1 1 1 1 0,0 78 3 19 30 56 55 6 50 75,23.2880,27.2540,0,7.3270 5.4180 3.1750 6.8960 2.6070 3.9730 4.0450 1.9750 2.5710 1.7390
0 0 0 1 0 1 0 0 1 0,450,0 0 0 1 1 1 1 1 0 1,4 51 54 14 58 94 88 58 6 23,96.3655,63.1276,1,6.1661 2.7037 1.2639 3.0318 12.9043 8.3679 2.7839 4.1760 13.7842 1.9599
1 1 1 0 1 0 1 0 0 1,399,1 0 1 0 1 1 0 0 1 1,67 36 77 25 52 44 10 16 2 70,61.0260,34.8970,0,19.8570 7.0110 5.7040 3.2450 2.7200 2.5150 5.3210 2.0600 3.6070 3.7620
1 0 1 0 0 1 0 1 1 1,355,1 0 0 0 1 1 1 0 1 1,30 48 33 7 90 65 2 24 15 41,40.9717,45.0957,1,11.2316 9.0476 4.5520 7.6798 8.6718 3.6880 2.5919 3.1436 3.9280 1.8796
0 0 1 1 0 1 1 0 0 0,501,0 0 1 1 0 1 1 1 1 0,16 32 99 63 41 46 35 87 55 27,117.5170,36.0880,0,5.3110 2.9860 8.5250 4.8430 2.9600 16.3300 2.5410 9.4070 9.4520 1.9750
1 0 1 1 1 0 1 0 1 1,531,1 0 1 1 1 0 1 1 1 1,61 43 71 26 96 6 58 84 15 71,87.8198,25.1682,0,6.4286 8.4800 1.7758 2.1280 1.1038 1.5037 0.8638 1.0559 1.3680 1.0234
0 0 0 1 1 1 1 0 1 1,484,0 1 0 1 0 1 1 0 1 1,18 16 66 22 10 39 79 88 53 93,3.6743,45.4567,2,9.2090 5.2485 4.0796 2.9436 2.1122 0.9754 1.9282 1.7357 1.8491 1.4241
0 1 0 1 1 0 1 0 1 0,395,0 1 0 1 0 0 1 1 1 0,45 78 30 10 4 48 19 27 57 77,59.8660,27.4330,0,4.8000 3.8120 11.7170 19.8550 1.3200 0.9680 1.1310 2.1940 3.4380 1.6570
1 0 1 0 0 1 0 0 0 0,466,1 0 1 1 1 1 1 1 1 1,98 21 68 76 14 41 80 3 53 12,66.7270,75.1670,1,16.8070 3.1320 7.1380 21.4310 3.8820 2.7780 2.1640 3.0510 3.8000 3.1720
1 0 1 1 1 0 0 1 0 1,519,0 0 1 1 1 0 1 1 1 1,19 21 99 76 26 95 5 71 52 55,108.8777,72.3450,2,6.1819 3.7338 3.1739 0.7039 0.5923 0.6262 1.3782 0.8321 4.5523 2.0099
1 1 0 0 1 1 0 1 0 1,404,1 1 0 0 0 1 0 1 1 1,54 85 70 50 23 51 5 41 11 14,50.2164,26.5118,1,5.8549 11.8954 5.0229 1.2654 1.8438 1.2858 1.5502 0.6264 1.5731 1.2455
1 1 0 0 0 0 0 0 0 1,355,1 1 1 1 0 0 0 0 0 1,55 20 65 20 94 52 24 10 5 10,52.3662,17.3284,0,20.0566 6.2058 2.5439 2.7337 0.7838 1.2717 3.3158 1.3579 4.6179 1.2719
0 1 0 0 1 0 0 1 0 1,480,1 0 0 1 1 1 0 1 1 1,37 36 40 78 98 58 49 12 19 53,66.4450,88.0160,2,10.0770 9.7800 1.5390 4.3600 1.7790 4.3280 2.3670 2.8500 1.3750 1.1320
0 1 0 1 1 1 0 1 0 0,484,1 0 1 0 1 0 1 0 0 0,36 22 98 33 3 8 61 95 84 44,77.6293,25.1886,0,5.7188 3.4618 3.2420 2.5999 1.0160 0.8201 0.7720 9.7884 2.7419 1.3600
0 1 0 0 1 1 0 0 0 0,493,1 1 1 1 1 0 1 1 1 0,71 58 24 97 23 16 49 58 80 17,40.4930,37.4040,0,10.4580 3.1390 7.9290 0.9500 0.9930 4.2140 2.0340 1.6990 0.8080 4.2530
1 1 0 1 0 1 1 1 1 1,356,1 1 0 1 0 1 0 0 1 1,39 50 83 17 5 8 75 0 2 77,98.0450,75.1120,1,31.7590 6.6000 1.2720 12.7920 4.1760 2.6320 8.8240 6.6240 2.1680 6.1600
1 0 0 0 0 1 1 1 1 1,483,1 0 1 1 0 1 1 1 0 1,17 1 64 52 35 65 83 54 12 100,112.5030,45.9360,0,14.2340 7.4320 2.6630 2.5830 1.8000 2.1940 4.5110 1.8320 1.9590 1.7910
0 0 0 0 1 0 0 0 0 1,349,0 0 0 0 1 1 1 0 1 1,4 40 58 25 94 43 32 27 22 4,23.6098,23.1523,0,3.0787 2.3919 3.2003 3.0603 1.3719 2.9800 1.6916 1.0917 1.5398 1.4679
0 0 1 1 0 1 0 0 1 0,416,0 0 1 1 0 1 0 1 0 0,33 6 83 46 32 81 0 47 32 56,18.3822,74.6381,0,10.0673 7.8974 6.1460 3.6379 5.0657 2.3619 3.4639 7.7839 2.9519 1.5679
1 0 1 1 1 0 0 0 0 1,517,1 1 1 1 0 0 0 0 0 0,95 1 54 47 28 53 57 86 48 48,60.3145,29.5529,0,6.7581 5.3039 4.8956 4.8397 6.8004 1.6000 5.1597 1.6478 1.3758 1.5597
1 1 0 0 1 1 1 0 1 0,509,1 1 0 1 1 1 0 0 1 1,100 51 13 54 99 81 31 13 67 0,28.5899,56.0510,1,6.6386 10.0601 10.9863 9.9257 5.9004 4.1440 6.8133 3.7296 1.9537 3.8665
0 0 0 1 0 0 1 1 0 1,468,0 1 1 1 0 0 1 1 1 0,46 69 79 62 10 23 72 48 57 2,83.9397,63.9493,1,7.4584 1.7341 11.4697 1.3966 1.0776 1.1090 1.2314 1.1862 3.9206 1.3538
